table_id,section_label,marker,text,src_row
Mt499,,1,"本年上年遺留人數與上年年底遺留人數不等,係原本錯誤,無法修正,姑仍其舊.",50
Mt499,,2,"原本以小數進位關係總數與細數尾數不符,無法修改,姑仍其舊.",50
Mt500,,1,"本表係按民國前十三年八月公佈之臺灣窮民救助規則規定範圍計列,該規則中規定:第一條凡日本國民(包括當時之本省人)在本省居住,孤獨無依,且具下列情形之一而確無營生能力者,得依照本規則救濟之.1.後天及先天殘廢或重病者.2.滿六十歲以上之衰老者.3.未滿十三歲者.第二條雖非孤獨而具前條所列情形之一,其扶養者因老幼、疾病、殘廢或失蹤、逃亡、在監等原因而不克受扶養時,亦可準用前條規定予以救濟.",50
Mt500,,2,係指後天殘疾.,50
Mt500,,3,係指先天殘疾.,50
Mt500,,4,"本年總計與表499「本年救濟」欄所載數字不符係原書錯誤,無法修改,姑仍其舊.",50
Mt501,,1,"本年上年遺留人數與上年年底遺留人數不符係原本錯誤,無法修正,姑仍其舊.",49
Mt502,,1,"本表各年病人關係者還款數中因包括繳還前年中救護用款部份,故有較當年救護費用之數字為大者.",47
Mt502,,2,"原本以小數進位關係,總數與細數尾數常有不符,無法修改,姑仍其舊.",47
Mt503,,1,本表包括行旅病人於救護中死亡人數.,49
Mt504,,1,本表包括行旅病人於救護中死亡所支費用及其關係者還款數。,51
Mt504,,2,原本以小數進位關係總數與細數尾數常有不符，無法修改，故仍其舊。,51
Mt506,,1,"治療延人日數對於住院患者係計其在院日數,對於門診患屬內科者則計其服藥日數,屬內科以外者不論其按日受療與否均以其治療全程計算,同時並加算治療最終日交付之服劑日數.",41
Mt506,,2,"本年上年遺留與上年年底遺留不符係原本錯誤,無法修正,姑仍其舊.",41
Mt507,,1,本表所謂廟宇者係指按照我國舊習建立之寺廟、齋堂及神明會而言.日本式寺院不包括本表內.,40
Mt507,,2,"本表行政區域沿用前臺灣總督府地方官制中所定五州三廳制載列,該制施行前已分別加以歸併.",40
Mt507,,3,"民國九年九月至十五年六月澎湖廳歸高雄州管轄,故該時期中各年數字包括在高雄州欄內.",40
Mt508,,1,本表所謂寺院係指信奉日本式佛教之寺院而言.,28
Mt508,,2,外省人欄中包括少數其他外國人.,28
Mt508,,3,"民國十五年六月以前澎湖廳歸高雄州管轄,故民國十二年至十四年間各年數字包括於高雄州欄內.",28
Mt509,,1,本表所謂寺院係指信奉日本式佛教之寺院而言.,28
Mt510,,1,外省人欄中包括少數其他外國人.,53
Mt512,,1,外省人欄中包括少數其他外國人.,53
Mt513,,1,"民國三十年以後日本基督教會、日本組合基督教會、日本聖教會、救世軍、日本梅瑟奇斯多教會通籌合併為日本基督教團,日本基督教會欄中所載數字實係該團之事實.",48
Mt514,,1,外省人欄中包括少數其他外國人.,53
Mt515,,1,本年係神宮派信徒數.,48
